ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,excess_return_60d_normalized,excess_return_60d_component,final_score,stage2_rank,final_rank
159855.SZ,影视ETF,其他,32.90810,,,,0.47987,0.58291,,0.48571,0.49641,0.57867,0.44360,0.56529,0.60787,0.84148,1.25062,0.99061,1.00000,1.00000,1.00000,1,1
159888.SZ,智能车ETF,其他,35.89693,,,,0.45339,0.54802,,0.47081,,0.59139,0.02123,0.49755,0.66431,0.85780,0.68078,1.19460,0.99394,0.99394,0.99394,2,2
159869.SZ,游戏ETF,其他,30.98797,,,,0.56635,0.55476,,0.49206,0.43247,0.64162,0.24304,0.49023,0.53609,0.68372,1.30432,0.81202,0.98788,0.98788,0.98788,3,3
159811.SZ,5G50ETF,科技,24.93509,,,,0.47228,0.33475,0.26265,0.45622,0.47679,0.57872,0.06082,0.32511,0.60504,0.88210,0.75072,0.83052,0.97576,0.97576,0.97576,5,4
159994.SZ,5GETF,科技,25.29488,,,,0.48901,0.31477,0.15428,0.48080,0.48833,0.61110,0.08594,0.30040,0.61237,0.86798,0.93264,0.68462,0.96970,0.96970,0.96970,6,5
161128.SZ,标普信息科技LOF,科技,24.03502,,,,0.31596,0.24807,0.76166,0.47906,0.45581,0.54746,0.09935,0.29765,0.59382,0.84658,0.88971,0.93349,0.96364,0.96364,0.96364,7,6
160140.SZ,美国REIT精选LOF,其他,21.90681,,,,0.28529,0.27365,0.84870,0.52698,0.54238,0.45460,0.14571,0.23709,0.56929,0.63850,1.03588,0.94389,0.95758,0.95758,0.95758,8,7
159725.SZ,线上消费ETF,消费,33.06915,,,,0.43447,0.26726,,0.47937,,0.49242,0.21855,0.21025,0.60256,0.72575,0.89032,0.50062,0.95152,0.95152,0.95152,9,8
159865.SZ,养殖ETF,其他,42.32159,,,,0.45269,0.33182,,0.51111,0.48214,0.66244,0.15640,0.20490,0.42255,0.27441,0.90205,0.42473,0.94545,0.94545,0.94545,10,9
159867.SZ,畜牧ETF,其他,41.27977,,,,0.44165,0.31846,,0.48730,0.47173,0.61764,0.15674,0.20318,0.41990,0.30066,0.96837,0.44157,0.93939,0.93939,0.93939,11,10
159819.SZ,人工智能ETF,科技,23.58502,,,,0.41636,0.21998,0.17648,0.50159,0.47717,0.63809,0.03197,0.19921,0.59099,0.79420,0.96616,0.59242,0.93333,0.93333,0.93333,12,11
159941.SZ,纳指ETF,其他,20.94159,,,,0.35029,0.14720,0.60038,0.43559,0.44605,0.65228,0.06305,0.18432,0.43341,0.41860,1.12899,0.55248,0.92727,0.92727,0.92727,13,12
159997.SZ,电子ETF,其他,25.61910,,,,0.56257,0.18177,-0.04575,0.40527,0.35892,0.65446,0.01921,0.18177,0.49873,0.73199,0.99471,0.43711,0.92121,0.92121,0.92121,14,13
161130.SZ,纳斯达克100LOF,其他,22.05718,,,,0.31813,0.13262,0.57055,0.34962,0.44566,0.55002,0.04149,0.18063,0.40890,0.43142,1.29621,0.64308,0.91515,0.91515,0.91515,15,14
162415.SZ,美国消费LOF,消费,21.83321,,,,0.35025,0.17075,0.54853,0.23968,0.46064,0.48100,0.02300,0.17928,0.26767,0.10268,0.88958,0.38845,0.90909,0.90909,0.90909,16,15
159909.SZ,TMT50ETF,其他,29.76049,,,,1.01421,0.19814,-0.86320,0.36703,0.28058,0.44725,0.04862,0.17894,0.48037,0.79349,0.71347,0.50729,0.90303,0.90303,0.90303,17,16
159845.SZ,中证1000ETF,其他,40.12782,,,,0.35601,0.16851,,0.51700,,0.65987,-0.00000,0.17757,0.63299,0.74899,1.04931,0.54268,0.89697,0.89697,0.89697,18,17
159939.SZ,信息技术ETF,其他,22.49046,,,,0.44403,0.19065,0.24730,0.40686,0.41412,0.49212,0.01463,0.17709,0.51646,0.72840,1.36547,0.47147,0.89091,0.89091,0.89091,19,18
161631.SZ,人工智能LOF,科技,24.13172,,,,0.39597,0.20184,0.20018,0.41654,0.46708,0.44670,0.01395,0.17582,0.55642,0.78563,0.90886,0.53025,0.88485,0.88485,0.88485,20,19
159851.SZ,金融科技ETF,科技,34.19955,,,,0.48696,0.15426,,0.41813,,0.55741,0.08485,0.15628,0.57363,0.72914,1.60279,0.37078,0.87879,0.87879,0.87879,21,20
